Rep	Year	RepSeason	Species	IndID	Status	Natal_X	Natal_Y	X	Y	Sex	ProbViable	DistMoved
0	0	0	0	18666	6	11	105	12	105	1	0.942484	100
0	0	0	0	13355	6	5	113	6	112	0	0.946235	141.421
0	0	0	0	19658	6	8	96	8	95	0	0.936823	100
0	0	0	0	18430	6	3	132	3	136	1	0.931862	400
0	0	0	0	9954	6	2	100	1	99	1	0.933723	141.421
0	0	0	0	15485	6	11	128	10	129	0	0.94355	141.421
0	0	0	0	17404	6	10	88	10	91	1	0.944082	300
0	0	0	0	15505	6	16	96	16	95	0	0.940677	100
0	0	0	0	14507	6	17	135	19	134	0	0.93783	223.607
0	0	0	0	13336	6	5	113	6	113	1	0.941022	100
0	0	0	0	13219	6	18	60	18	57	0	0.943597	300
0	0	0	0	18777	6	19	124	19	126	0	0.944537	200
0	0	0	0	10258	6	11	96	11	91	0	0.938784	500
0	0	0	0	17779	6	3	143	4	136	1	0.930312	707.107
0	0	0	0	9846	6	19	72	19	73	1	0.929695	100
0	0	0	0	17004	6	12	140	15	152	1	0.928007	1236.93
0	0	0	0	19505	6	2	119	0	118	0	0.942769	223.607
0	0	0	0	19318	6	15	121	14	122	1	0.9415	141.421
0	0	0	0	19186	6	1	116	2	117	0	0.941563	141.421
0	0	0	0	16589	6	18	96	19	97	1	0.936492	141.421
0	0	0	0	11956	6	16	85	18	89	0	0.944925	447.214
0	0	0	0	10734	6	2	91	7	91	0	0.938547	500
0	0	0	0	11359	6	13	108	14	108	1	0.938221	100
0	0	0	0	16664	6	19	120	19	126	0	0.936939	600
0	0	0	0	17156	6	6	97	6	96	0	0.944208	100
0	0	0	0	17053	6	11	121	9	118	0	0.952117	360.555
0	0	0	0	9802	6	8	139	19	128	1	0.947548	1555.63
0	0	0	0	16228	6	6	116	4	115	1	0.936456	223.607
0	0	0	0	10545	6	17	125	17	124	0	0.935665	100
0	0	0	0	13422	6	8	122	3	123	0	0.940623	509.902
0	0	0	0	18201	6	18	86	18	89	1	0.93318	300
0	0	0	0	12921	6	14	89	14	90	1	0.937636	100
0	0	0	0	11107	6	1	85	0	85	0	0.94766	100
0	0	0	0	13394	6	1	130	0	130	0	0.940356	100
0	0	0	0	10062	6	0	102	0	100	0	0.938436	200
0	0	0	0	12795	6	0	90	0	89	1	0.941038	100
0	0	0	0	15499	6	16	96	16	95	1	0.941396	100
0	0	0	0	10158	6	6	123	3	124	0	0.93843	316.228
0	0	0	0	12864	6	0	61	2	59	1	0.94417	282.843
0	0	0	0	18054	6	5	138	4	138	1	0.938191	100
0	0	0	0	12526	6	1	67	6	58	0	0.942438	1029.56
0	0	0	0	17893	6	5	86	4	87	0	0.947073	141.421
0	0	0	0	14186	6	4	134	3	134	0	0.942346	100
